GEOID,totalUnits,occupiedUnits,vacantUnits,whiteHouseholds,renterOccupied,vacancyShare,whiteShare,renterShare,name
060750103002,621,545,76,326,401,0.12238325281803543,0.5981651376146789,0.7357798165137615,"Block Group 2,  Census Tract 103"
060750104002,921,829,92,614,627,0.0998914223669924,0.7406513872135102,0.7563329312424608,"Block Group 2,  Census Tract 104"
060750105002,1389,1172,217,865,1082,0.156227501799856,0.7380546075085325,0.9232081911262798,"Block Group 2,  Census Tract 105"
060750107001,474,420,54,247,352,0.11392405063291139,0.5880952380952381,0.8380952380952381,"Block Group 1,  Census Tract 107"
060750107004,1004,933,71,82,922,0.07071713147410359,0.08788853161843516,0.9882100750267953,"Block Group 4,  Census Tract 107"
060750108003,1034,925,109,543,815,0.10541586073500966,0.587027027027027,0.8810810810810811,"Block Group 3,  Census Tract 108"
060750110001,540,504,36,313,412,0.06666666666666667,0.621031746031746,0.8174603174603174,"Block Group 1,  Census Tract 110"
060750111001,1295,1209,86,726,1121,0.06640926640926641,0.6004962779156328,0.9272125723738627,"Block Group 1,  Census Tract 111"
060750112002,922,717,205,542,541,0.22234273318872017,0.7559274755927475,0.7545327754532776,"Block Group 2,  Census Tract 112"
060750117001,507,430,77,160,400,0.15187376725838264,0.37209302325581395,0.9302325581395349,"Block Group 1,  Census Tract 117"
060750119011,753,598,155,422,446,0.2058432934926959,0.705685618729097,0.745819397993311,"Block Group 1,  Census Tract 119.01"
060750119022,465,399,66,288,360,0.14193548387096774,0.7218045112781954,0.9022556390977443,"Block Group 2,  Census Tract 119.02"
060750123011,1037,903,134,376,901,0.12921890067502412,0.416389811738649,0.9977851605758582,"Block Group 1,  Census Tract 123.01"
060750123021,1178,1102,76,633,1102,0.06451612903225806,0.574410163339383,1,"Block Group 1,  Census Tract 123.02"
060750124021,488,440,48,217,440,0.09836065573770492,0.49318181818181817,1,"Block Group 1,  Census Tract 124.02"
060750125021,1216,1113,103,344,1110,0.08470394736842106,0.3090745732255166,0.9973045822102425,"Block Group 1,  Census Tract 125.02"
060750125022,1093,921,172,229,920,0.15736505032021958,0.248642779587405,0.998914223669924,"Block Group 2,  Census Tract 125.02"
060750127001,996,909,87,779,631,0.08734939759036145,0.856985698569857,0.6941694169416942,"Block Group 1,  Census Tract 127"
060750128002,427,383,44,360,153,0.10304449648711944,0.9399477806788512,0.39947780678851175,"Block Group 2,  Census Tract 128"
060750129011,829,767,62,624,652,0.07478890229191798,0.8135593220338984,0.8500651890482399,"Block Group 1,  Census Tract 129.01"
060750129022,778,708,70,585,586,0.08997429305912596,0.826271186440678,0.827683615819209,"Block Group 2,  Census Tract 129.02"
060750130002,619,566,53,498,396,0.08562197092084006,0.8798586572438163,0.6996466431095406,"Block Group 2,  Census Tract 130"
060750131012,1542,1407,135,1049,1128,0.08754863813229571,0.7455579246624022,0.8017057569296375,"Block Group 2,  Census Tract 131.01"
060750132001,1505,1314,191,1093,1041,0.12691029900332226,0.8318112633181126,0.7922374429223744,"Block Group 1,  Census Tract 132"
060750133005,360,321,39,274,174,0.10833333333333334,0.8535825545171339,0.5420560747663551,"Block Group 5,  Census Tract 133"
060750152001,1315,1221,94,790,1097,0.0714828897338403,0.647010647010647,0.8984438984438985,"Block Group 1,  Census Tract 152"
060750152002,826,757,69,491,566,0.08353510895883777,0.6486129458388376,0.7476882430647291,"Block Group 2,  Census Tract 152"
060750154001,387,363,24,277,232,0.06201550387596899,0.7630853994490359,0.6391184573002755,"Block Group 1,  Census Tract 154"
060750154004,474,437,37,332,289,0.07805907172995781,0.7597254004576659,0.6613272311212814,"Block Group 4,  Census Tract 154"
060750155003,322,293,29,110,274,0.09006211180124224,0.37542662116040953,0.9351535836177475,"Block Group 3,  Census Tract 155"
060750157001,639,589,50,378,403,0.0782472613458529,0.6417657045840407,0.6842105263157895,"Block Group 1,  Census Tract 157"
060750158011,231,192,39,65,92,0.16883116883116883,0.3385416666666667,0.4791666666666667,"Block Group 1,  Census Tract 158.01"
060750158012,847,798,49,420,556,0.05785123966942149,0.5263157894736842,0.6967418546365914,"Block Group 2,  Census Tract 158.01"
060750158021,711,670,41,498,543,0.057665260196905765,0.7432835820895523,0.8104477611940298,"Block Group 1,  Census Tract 158.02"
060750158022,870,821,49,568,681,0.05632183908045977,0.6918392204628502,0.8294762484774665,"Block Group 2,  Census Tract 158.02"
060750159001,1127,1067,60,525,580,0.05323868677905945,0.49203373945641987,0.5435801312089972,"Block Group 1,  Census Tract 159"
060750159002,1286,1218,68,526,1149,0.05287713841368585,0.4318555008210181,0.9433497536945813,"Block Group 2,  Census Tract 159"
060750160001,1847,1633,214,959,1233,0.11586356253383866,0.5872627066748316,0.7550520514390692,"Block Group 1,  Census Tract 160"
060750161003,622,592,30,167,586,0.04823151125401929,0.28209459459459457,0.9898648648648649,"Block Group 3,  Census Tract 161"
060750162002,700,629,71,445,572,0.10142857142857142,0.7074721780604134,0.9093799682034976,"Block Group 2,  Census Tract 162"
060750163002,604,572,32,374,481,0.052980132450331126,0.6538461538461539,0.8409090909090909,"Block Group 2,  Census Tract 163"
060750165001,725,686,39,489,559,0.05379310344827586,0.7128279883381924,0.814868804664723,"Block Group 1,  Census Tract 165"
060750165004,513,485,28,391,373,0.05458089668615984,0.8061855670103093,0.7690721649484537,"Block Group 4,  Census Tract 165"
060750166004,598,554,44,461,406,0.07357859531772576,0.8321299638989169,0.7328519855595668,"Block Group 4,  Census Tract 166"
060750167004,744,687,57,538,505,0.07661290322580645,0.7831149927219796,0.735080058224163,"Block Group 4,  Census Tract 167"
060750168012,609,570,39,399,449,0.06403940886699508,0.7,0.787719298245614,"Block Group 2,  Census Tract 168.01"
060750170001,536,482,54,431,257,0.10074626865671642,0.8941908713692946,0.533195020746888,"Block Group 1,  Census Tract 170"
060750171012,580,541,39,465,280,0.06724137931034482,0.8595194085027726,0.5175600739371534,"Block Group 2,  Census Tract 171.01"
060750171022,315,303,12,252,154,0.0380952380952381,0.8316831683168316,0.5082508250825083,"Block Group 2,  Census Tract 171.02"
060750176013,2002,1511,491,695,1221,0.24525474525474525,0.4599602911978822,0.8080741230972865,"Block Group 3,  Census Tract 176.01"
