GEOID,POIID,transitTime1,transitTime2,transitTime3,transitTime4,transitTime5,straightLineMiles,mph1,mph2,mph3,mph4,mph5
060750314005,1,35,40,38,196,40,6.340404683775414,10.869265172186424,9.510607025663122,10.011165290171707,1.9409402093190045,9.510607025663122
060750314005,2,47,58,58,134,57,3.863669926471143,4.9323445869844385,3.9968999239356653,3.9968999239356653,1.7300014596139446,4.067020975232783
060750314005,3,53,54,55,173,54,5.283751172839529,5.9816051013277685,5.8708346364883655,5.764092188552214,1.8325148576322066,5.8708346364883655
060750314005,4,41,48,44,115,48,3.4391324440270132,5.032876747356605,4.2989155550337665,4.689726060036836,1.7943299707967024,4.2989155550337665
060750314005,5,53,57,57,123,56,3.7221335431140474,4.213736086544205,3.9180353085411026,3.9180353085411026,1.8156748990800233,3.9880002247650506
060750314005,6,40,45,43,201,45,6.518632548716754,9.777948823075132,8.691510064955672,9.095766347046633,1.9458604623035085,8.691510064955672
060750326011,1,40,42,42,147,43,5.059881421698527,7.58982213254779,7.228402030997896,7.228402030997896,2.0652577231422558,7.0602996581839905
060750326011,2,28,31,32,57,30,1.696530814693942,3.635423174344161,3.2836080284398874,3.1809952775511414,1.7858219102041495,3.393061629387884
060750326011,3,61,62,62,148,64,5.120110343809368,5.0361741086649525,4.954945494009065,4.954945494009065,2.075720409652446,4.800103447321282
060750326011,4,45,49,47,93,48,2.9602692469320933,3.947025662576124,3.6248194860392977,3.779067123743098,1.9098511270529632,3.7003365586651165
060750326011,5,21,25,25,54,25,1.8983707186683196,5.423916339052342,4.556089724803967,4.556089724803967,2.109300798520355,4.556089724803967
060750326011,6,45,47,47,152,48,5.246804832828632,6.995739777104842,6.698048722759956,6.698048722759956,2.0711071708534075,6.558506041035789
060750326012,1,39,43,40,150,42,5.106685244964077,7.856438838406272,7.125607318554526,7.660027867446116,2.042674097985631,7.295264635662968
060750326012,2,27,29,29,54,29,1.6653897195366052,3.700866043414678,3.445633902489528,3.445633902489528,1.850433021707339,3.445633902489528
060750326012,3,61,64,62,149,64,5.119993145757216,5.036058831892344,4.79999357414739,4.954832076539241,2.061742206345188,4.79999357414739
060750326012,4,46,51,46,91,48,2.940976577205095,3.8360564050501234,3.4599724437707,3.8360564050501234,1.939105435519843,3.6762207215063682
060750326012,5,22,27,26,58,25,1.9217619737254128,5.241169019251126,4.27058216383425,4.434835323981722,1.9880296279918064,4.612228736940991
060750326012,6,44,48,45,155,47,5.294458317161615,7.219715887038566,6.618072896452018,7.0592777562154865,2.0494677356754636,6.758882958078657
060750326013,1,39,42,39,152,42,5.1551028467485125,7.930927456536173,7.364432638212161,7.930927456536173,2.0349090184533605,7.364432638212161
060750326013,2,27,28,29,50,29,1.645045171003753,3.6556559355638956,3.525096795008042,3.403541733111213,1.9740542052045036,3.403541733111213
060750326013,3,61,63,61,149,64,5.122305177625539,5.038332961598891,4.878385883452894,5.038332961598891,2.062673225889479,4.802161104023943
060750326013,4,46,50,45,91,48,2.926633450921652,3.817347979463024,3.511960141105982,3.9021779345622023,1.9296484291791112,3.6582918136520646
060750326013,5,23,27,26,60,25,1.9524520052063292,5.093353057059989,4.338782233791843,4.505658473553067,1.9524520052063292,4.68588481249519
060750326013,6,44,47,44,157,47,5.343604477617513,7.286733378569336,6.821622737384059,7.286733378569336,2.042141838579941,6.821622737384059
060750326021,1,45,44,43,160,44,5.399902584767199,7.199870113022932,7.363503524682545,7.534747792698417,2.0249634692877,7.363503524682545
060750326021,2,28,28,26,42,28,1.3816224784469957,2.960619596672134,2.960619596672134,3.188359565646913,1.9737463977814225,2.960619596672134
060750326021,3,62,65,65,156,66,5.388531904814053,5.2147082949813415,4.974029450597588,4.974029450597588,2.0725122710823283,4.898665368012775
060750326021,4,50,52,49,99,51,3.192642247783591,3.8311706973403092,3.683817978211836,3.909357854428887,1.934934695626419,3.7560497032748135
060750326021,5,32,32,34,68,33,2.2089692061371475,4.141817261507152,4.141817261507152,3.898180952006731,1.9490904760033656,4.016307647522086
060750326021,6,50,49,48,165,49,5.58778106453431,6.7053372774411715,6.842180895348135,6.984726330667887,2.0319203871033853,6.842180895348135
060750326022,1,41,43,42,156,43,5.210485115130423,7.625100168483545,7.270444346693613,7.443550164472033,2.004032736588624,7.270444346693613
060750326022,2,27,30,29,47,30,1.6300580270676175,3.6223511712613723,3.260116054135235,3.3725338491054155,2.080925140937384,3.260116054135235
060750326022,3,62,64,64,152,64,5.132513915444268,4.966948950429937,4.811731795729002,4.811731795729002,2.02599233504379,4.811731795729002
060750326022,4,47,51,48,94,48,2.922604039636889,3.730983880387518,3.438357693690458,3.6532550495461114,1.865491940193759,3.6532550495461114
060750326022,5,23,27,27,64,25,1.995434817224055,5.2054821318888385,4.434299593831233,4.434299593831233,1.8707201411475516,4.789043561337732
060750326022,6,46,48,47,161,48,5.399595717769472,7.04295093622105,6.74949464721184,6.893100916301454,2.0122716960631575,6.74949464721184
060750326023,1,43,44,43,159,44,5.264966308944456,7.346464617131799,7.179499512196986,7.346464617131799,1.9867797392243232,7.179499512196986
060750326023,2,27,31,29,47,31,1.6290648034395439,3.6201440076434306,3.1530286518184716,3.3704789036680216,2.079657195880269,3.1530286518184716
060750326023,3,64,64,65,155,65,5.142128792540686,4.820745743006893,4.820745743006893,4.74658042388371,1.9905014680802655,4.74658042388371
060750326023,4,48,51,49,98,49,2.9204588517931356,3.6505735647414195,3.435833943286042,3.576072063420166,1.788036031710083,3.576072063420166
060750326023,5,24,27,28,67,26,2.0421322577986816,5.1053306444967035,4.53807168399707,4.375997695282889,1.8287751562376253,4.712612902612342
060750326023,6,48,49,48,164,49,5.45458975836336,6.8182371979542,6.679089500036768,6.8182371979542,1.9955816189134243,6.679089500036768
060750327002,1,45,44,43,164,44,5.572754148559628,7.4303388647461714,7.599210202581312,7.775936021245993,2.038812493375474,7.599210202581312
060750327002,2,23,26,24,39,26,1.1813714838158635,3.0818386534326874,2.726241885728916,2.9534287095396587,1.8174945904859439,2.726241885728916
060750327002,3,62,65,65,162,66,5.619464172216502,5.438191134403066,5.1871976974306175,5.1871976974306175,2.0812830267468527,5.108603792924092
060750327002,4,51,52,49,105,51,3.437461727885466,4.044072621041725,3.966301993713999,4.209136809655673,1.9642638445059806,4.044072621041725
060750327002,5,34,35,36,71,33,2.4117036294822927,4.25594758143934,4.134349079112502,4.019506049137155,2.0380594051963037,4.384915689967804
060750327002,6,50,49,48,169,49,5.759287988150186,6.911145585780223,7.052189373245126,7.199109985187732,2.04471762892906,7.052189373245126
060750327004,1,49,48,46,170,50,5.667140345018939,6.939355524512986,7.083925431273673,7.391922189155137,2.0001671805949193,6.800568414022726
060750327004,2,27,29,27,32,29,1.132658169579528,2.517018154621173,2.343430695681782,2.517018154621173,2.123734067961615,2.343430695681782
060750327004,3,66,69,68,166,73,5.629888192507558,5.11808017500687,4.895554950006573,4.967548405153727,2.0348993466894787,4.627305363704842
060750327004,4,55,56,52,108,55,3.4208332361150426,3.731818075761865,3.665178467266117,3.9471152724404335,1.9004629089528013,3.731818075761865
060750327004,5,36,39,37,78,37,2.470017649701869,4.116696082836449,3.8000271533874908,4.005434026543571,1.9000135766937454,4.005434026543571
060750327004,6,54,53,51,174,55,5.855200346950944,6.505778163278827,6.628528694661447,6.888470996412876,2.0190346023968773,6.387491287582849
060750328012,1,34,34,34,179,34,5.768685240584331,10.18003277750176,10.18003277750176,10.18003277750176,1.9336375108103903,10.18003277750176
060750328012,2,40,43,42,67,41,1.8316737489413084,2.7475106234119626,2.5558238357320584,2.6166767842018692,1.6403048497981867,2.6804981691824024
060750328012,3,59,53,57,170,53,5.361396259610427,5.452267382654672,6.069505199558975,5.64357501011624,1.8922575033919156,6.069505199558975
060750328012,4,41,41,41,102,40,3.1246148009172527,4.572607025732565,4.572607025732565,4.572607025732565,1.8380087064219135,4.68692220137588
060750328012,5,40,43,39,93,41,2.583713858959055,3.8755707884385826,3.6051821287800765,3.974944398398546,1.666912167070358,3.7810446716473973
060750328012,6,39,39,39,183,39,5.9594537044694285,9.16839031456835,9.16839031456835,9.16839031456835,1.953919247367026,9.16839031456835
060750328022,1,40,44,40,162,46,5.279490372102215,7.919235558153322,7.199305052866657,7.919235558153322,1.9553668044823016,6.88629178969854
060750328022,2,29,33,34,57,32,1.7716853333973155,3.665555862201342,3.2212460607223914,3.1265035295246744,1.8649319298919111,3.3219100001199666
060750328022,3,61,63,61,158,65,5.056038105696152,4.97315223511097,4.815274386377288,4.97315223511097,1.9200144705175262,4.6671120975656795
060750328022,4,44,50,46,100,51,2.8177298999516354,3.842358954479503,3.3812758799419624,3.675299869502133,1.6906379399709812,3.314976352884277
060750328022,5,31,32,34,70,33,2.0553282008261813,3.9780545822442215,3.85374037654909,3.627049766163849,1.761709886422441,3.7369603651385113
060750328022,6,45,49,45,167,51,5.469972950229725,7.293297266972967,6.697926061505786,7.293297266972967,1.9652597425975062,6.435262294387912
060750329012,1,40,45,40,190,45,6.073806637986445,9.110709956979669,8.098408850648594,9.110709956979669,1.918044201469404,8.098408850648594
060750329012,2,28,34,28,48,34,1.2577594170169208,2.695198750750545,2.219575441794566,2.695198750750545,1.572199271271151,2.219575441794566
060750329012,3,61,64,62,184,64,5.8051207256492985,5.709954812114065,5.442300680296217,5.617858766757385,1.8929741496682493,5.442300680296217
060750329012,4,45,51,46,122,51,3.5611147970917276,4.74815306278897,4.189546820107915,4.6449323440326875,1.7513679329959317,4.189546820107915
060750329012,5,41,41,39,98,40,2.849326357106665,4.169745888448778,4.169745888448778,4.383579010933331,1.7444855247591828,4.273989535659998
060750329012,6,45,50,45,195,50,6.264293316081649,8.352391088108865,7.517151979297979,8.352391088108865,1.9274748664866612,7.517151979297979
060750329021,1,53,52,50,178,53,5.838802199054625,6.609964753646745,6.737079460447643,7.0065626388655495,1.968135572715042,6.609964753646745
060750329021,2,27,26,26,34,28,1.0684005709741204,2.374223491053601,2.465539779171047,2.465539779171047,1.8854127723072713,2.2894297949445437
060750329021,3,75,73,73,174,74,5.725935344368,4.5807482754944,4.706248228247671,4.706248228247671,1.9744604635751724,4.642650279217297
060750329021,4,60,57,53,117,56,3.4978796244415027,3.4978796244415027,3.681978552043687,3.9598637257828333,1.7937844227905142,3.7477281690444673
060750329021,5,32,35,35,86,34,2.6223760423109126,4.916955079332961,4.495501786818707,4.495501786818707,1.829564680682032,4.627722427607493
060750329021,6,58,57,55,183,58,6.027884749708834,6.23574284452638,6.345141841798773,6.575874272409637,1.9763556556422408,6.23574284452638
060750330002,1,39,39,39,183,39,5.9172504130158785,9.103462173870582,9.103462173870582,9.103462173870582,1.940082102628157,9.103462173870582
060750330002,2,46,46,46,74,44,1.9766015655241096,2.578175955031447,2.578175955031447,2.578175955031447,1.6026499179925213,2.6953657711692407
060750330002,3,60,58,60,174,58,5.434919894612592,5.434919894612592,5.622330925461302,5.434919894612592,1.8741103084871007,5.622330925461302
060750330002,4,44,46,45,105,45,3.212775409347516,4.3810573763829765,4.190576620888064,4.283700545796688,1.8358716624842948,4.283700545796688
060750330002,5,45,48,44,99,46,2.762406144536224,3.683208192714965,3.4530076806702796,3.7669174698221237,1.674185542143166,3.6031384493950744
060750330002,6,44,44,44,187,44,6.107744788413927,8.32874289329172,8.32874289329172,8.32874289329172,1.9597042101862867,8.32874289329172
060750331002,1,44,38,44,190,38,6.344350644883633,8.651387243023137,10.017395755079422,8.651387243023137,2.0034791510158843,10.017395755079422
060750331002,2,32,46,43,79,44,2.204903302176035,4.134193691580066,2.875960828925263,3.0766092588502816,1.6746101029185076,3.006686321149139
060750331002,3,68,56,68,181,56,5.752989979310459,5.076167628803346,6.163917834975492,5.076167628803346,1.9070685014288815,6.163917834975492
060750331002,4,51,41,51,112,43,3.568356522771942,4.198066497378755,5.221985155276013,4.198066497378755,1.9116195657706831,4.979102124798058
060750331002,5,51,46,51,110,47,3.235535991002752,3.806512930591473,4.220264336090546,3.806512930591473,1.7648378132742284,4.130471477875854
060750331002,6,49,43,49,194,43,6.534102072291314,8.000941313009772,9.117351728778578,8.000941313009772,2.020856311017932,9.117351728778578
060750332032,1,46,44,47,212,46,7.07056697027531,9.222478656880838,9.641682232193606,9.026255706734439,2.0011038595118804,9.222478656880838
060750332032,2,47,50,46,109,49,3.1635604632490937,4.038587825424375,3.7962725558989123,4.1263832129336,1.7414094293114277,3.8737475060192983
060750332032,3,61,60,62,203,61,6.22349398590149,6.121469494329334,6.22349398590149,6.022736115388538,1.8394563505127557,6.121469494329334
060750332032,4,55,53,54,134,53,4.187271023763416,4.567932025923727,4.740306819354811,4.6525233597371285,1.8748974733269026,4.740306819354811
060750332032,5,55,56,60,132,57,4.131607219967328,4.507207876327994,4.426722021393565,4.131607219967328,1.8780032818033305,4.349060231544556
060750332032,6,51,49,52,216,51,7.2563061142523,8.536830722649766,8.885272792962,8.372660901060346,2.0156405872923058,8.536830722649766
060750332042,1,44,43,47,210,44,6.965899098838076,9.498953316597376,9.719859207681036,8.892637147452863,1.9902568853823073,9.498953316597376
060750332042,2,47,47,46,104,46,3.0818035844696015,3.934217341876087,3.934217341876087,4.019743805829915,1.77796360642477,4.019743805829915
060750332042,3,59,59,62,201,61,6.135296030120611,6.23928409842774,6.23928409842774,5.93738325495543,1.8314316507822719,6.034717406676012
060750332042,4,53,51,54,133,50,4.086495041506413,4.626220801705373,4.807641225301662,4.540550046118236,1.8435315976720659,4.903794049807695
060750332042,5,54,55,59,131,55,4.017323531697329,4.463692812997032,4.382534761851632,4.085413761048131,1.8399955107010668,4.382534761851632
060750332042,6,49,48,52,215,49,7.151956468391517,8.757497716397776,8.939945585489395,8.252257463528673,1.9958948283883302,8.757497716397776
060750351002,1,50,51,47,179,51,6.059318867423822,7.271182640908586,7.12861043226332,7.735300681817645,2.0310566036057502,7.12861043226332
060750351002,2,20,20,21,25,20,0.7049663777132485,2.1148991331397458,2.1148991331397458,2.0141896506092816,1.6919193065117963,2.1148991331397458
060750351002,3,72,73,69,177,74,6.134899587397183,5.1124163228309865,5.042383222518233,5.334695293388855,2.079626978778706,4.974242908700418
060750351002,4,57,57,53,120,56,3.9506072886272516,4.158533988028686,4.158533988028686,4.4723856097667,1.9753036443136258,4.232793523529198
060750351002,5,39,39,38,86,37,2.920712832171314,4.493404357186637,4.493404357186637,4.611651840270496,2.0377066270962656,4.736291079196725
060750351002,6,55,56,52,183,56,6.244601909754121,6.812292992459041,6.690644903307987,7.20530989587014,2.047410462214466,6.690644903307987
060750351006,1,54,55,51,191,55,6.241662965156192,6.9351810723957685,6.809086871079483,7.343132900183756,1.9607318215150342,6.809086871079483
060750351006,2,22,22,22,22,21,0.6379742829339522,1.7399298625471424,1.7399298625471424,1.7399298625471424,1.7399298625471424,1.8227836655255778
060750351006,3,76,74,73,187,75,6.163713219216129,4.866089383591682,4.997605312877942,5.066065659629696,1.9776619954704158,4.930970575372903
060750351006,4,61,58,54,130,58,3.937520751029318,3.872971230520641,4.073297328651019,4.375023056699242,1.8173172697058393,4.073297328651019
060750351006,5,33,38,36,99,37,3.0376654513325017,5.5230280933318205,4.796313870525003,5.062775752220836,1.8410093644439405,4.925943975133786
060750351006,6,59,60,56,196,60,6.429920694184036,6.538902400865122,6.429920694184036,6.889200743768609,1.9683430696481743,6.429920694184036
060750352011,1,54,52,51,203,52,6.62278728890024,7.358652543222489,7.641677641038739,7.791514457529694,1.9574740755370168,7.641677641038739
060750352011,2,15,15,15,15,15,0.3933441176734365,1.573376470693746,1.573376470693746,1.573376470693746,1.573376470693746,1.573376470693746
060750352011,3,76,75,74,199,75,6.534750893708127,5.159013863453785,5.227800714966501,5.298446670574156,1.9702766513692844,5.227800714966501
060750352011,4,61,57,55,141,57,4.303500097109544,4.232950915189716,4.530000102220573,4.6947273786649575,1.831276637067891,4.530000102220573
060750352011,5,34,39,37,111,37,3.419229762589103,6.033934875157241,5.260353480906312,5.544696912306653,1.8482323041022177,5.544696912306653
060750352011,6,59,57,56,208,57,6.810938000081939,6.926377627201973,7.1694084211388835,7.297433571516363,1.9646936538697901,7.1694084211388835
060750352014,1,54,54,51,193,54,6.490171743720594,7.211301937467326,7.211301937467326,7.635496169083051,2.017669972141117,7.211301937467326
060750352014,2,8,8,8,8,8,0.26254077663608905,1.9690558247706678,1.9690558247706678,1.9690558247706678,1.9690558247706678,1.9690558247706678
060750352014,3,76,77,72,190,77,6.510389734784195,5.13978136956647,5.0730309621695024,5.4253247789868295,2.0559125478265883,5.0730309621695024
060750352014,4,61,58,57,132,58,4.302596623053722,4.232062252183989,4.450962023848677,4.529049076898655,1.9557257377516917,4.450962023848677
060750352014,5,42,42,40,101,40,3.3268794508889057,4.752684929841294,4.752684929841294,4.990319176333359,1.976364030231033,4.990319176333359
060750352014,6,59,59,56,198,59,6.676301480935048,6.789459133154287,6.789459133154287,7.153180158144694,2.0231216608894087,6.789459133154287
060750352022,1,52,52,49,188,53,6.414104176052061,7.400889433906224,7.400889433906224,7.854005113533136,2.0470545242719345,7.261250010624975
060750352022,2,15,15,15,15,15,0.42223783486045324,1.688951339441813,1.688951339441813,1.688951339441813,1.688951339441813,1.688951339441813
060750352022,3,74,75,71,187,76,6.507806206948097,5.276599627255214,5.2062449655584775,5.499554541082899,2.0880661626571433,5.137741742327446
060750352022,4,59,56,55,129,57,4.322216039359762,4.395473938331961,4.630945756456888,4.7151447702106495,2.01033304156268,4.5497010940629075
060750352022,5,41,43,39,95,41,3.290205778658318,4.814935285841441,4.590984807430211,5.06185504408972,2.078024702310517,4.814935285841441
060750352022,6,57,57,54,193,58,6.5985172094451965,6.94580758888968,6.94580758888968,7.33168578827244,2.051352500345657,6.8260522856329615
060750353003,1,45,45,46,204,45,6.712437104685307,8.94991613958041,8.94991613958041,8.755352745241705,1.9742462072603846,8.94991613958041
060750353003,2,31,30,30,51,30,1.432217727021658,2.772034310364499,2.864435454043316,2.864435454043316,1.6849620317901859,2.864435454043316
060750353003,3,64,64,63,196,64,6.327275722522869,5.93182098986519,5.93182098986519,6.025976878593209,1.9369211395478172,5.93182098986519
060750353003,4,49,52,50,127,52,4.0927650961391215,5.01154909731321,4.722421264775909,4.911318115366946,1.933589809199585,4.722421264775909
060750353003,5,46,42,48,123,40,3.5019330753585125,4.567738793945885,5.002761536226447,4.37741634419814,1.70826003676025,5.252899613037769
060750353003,6,50,50,51,209,50,6.9032401218469,8.28388814621628,8.28388814621628,8.121458966878706,1.98179142253978,8.28388814621628
060750354001,1,46,47,46,220,47,6.984118130753466,9.109719300982782,8.915895486068255,9.109719300982782,1.904759490205491,8.915895486068255
060750354001,2,26,26,26,26,26,0.8694433747722379,2.0064077879359337,2.0064077879359337,2.0064077879359337,2.0064077879359337,2.0064077879359337
060750354001,3,65,66,64,211,66,6.758254162196249,6.238388457411923,6.143867420178408,6.3358632770589836,1.9217784347477487,6.143867420178408
060750354001,4,49,53,50,143,53,4.51427395667992,5.527682395934597,5.110498818882929,5.417128748015904,1.894100960844722,5.110498818882929
060750354001,5,48,48,49,128,47,3.758678820168438,4.698348525210547,4.698348525210547,4.60246386143074,1.7618806969539553,4.7983133874490695
060750354001,6,51,52,51,225,52,7.173947552348436,8.439938296880513,8.277631791171272,8.439938296880513,1.9130526806262498,8.277631791171272
060750354005,1,45,42,45,217,42,7.078030370828155,9.437373827770873,10.111471958325936,9.437373827770873,1.9570590887082455,10.111471958325936
060750354005,2,27,26,26,44,26,1.3922360544866788,3.093857898859286,3.212852433430797,3.212852433430797,1.898503710663653,3.212852433430797
060750354005,3,64,61,62,208,61,6.710798702293043,6.291373783399727,6.60078560881283,6.494321324799718,1.9358073179691468,6.60078560881283
060750354005,4,49,46,49,139,48,4.475486647678107,5.4801877318507435,5.837591279580139,5.4801877318507435,1.931864740004938,5.5943583095976335
060750354005,5,49,49,51,135,49,3.860455629781879,4.727088526263525,4.727088526263525,4.54171250562574,1.7157580576808351,4.727088526263525
060750354005,6,50,47,50,222,47,7.268768308356695,8.722521970028033,9.279278691519186,8.722521970028033,1.964531975231539,9.279278691519186
060750401004,1,41,45,43,103,44,3.7193386988772086,5.442934681283719,4.959118265169612,5.189774928665872,2.166605067307112,5.071825498468921
060750401004,2,46,54,46,113,53,3.280578436124559,4.279015351466816,3.64508715124951,4.279015351466816,1.7419000545794119,3.7138623805183686
060750401004,3,62,62,64,141,62,4.3507880618706185,4.2104400598747915,4.2104400598747915,4.078863808003705,1.8513991752640928,4.2104400598747915
